nom,ID,pays,discipline,année,médaille,saison
Aaron Michael Miller,159116,United States,Ice Hockey,2002,1,Winter
Adam David Vernon Foote,71081,Canada,Ice Hockey,2002,1,Winter
Adam Enright,63859,Canada,Curling,2010,1,Winter
Adam Henryk Maysz,153757,Poland,Ski Jumping,2002,4,Winter
Adam Richard Deadmarsh,52198,United States,Ice Hockey,2002,1,Winter
Adelina Dmitriyevna Sotnikova,225576,Russia,Figure Skating,2014,1,Winter
Adolf Koxeder,125955,Austria-1,Bobsleigh,1964,1,Winter
Adrian Mark Aucoin,10808,Canada,Ice Hockey,1994,1,Winter
"Adriana Johanna ""Ria"" Visser",253328,Netherlands,Speed Skating,1980,1,Winter
Adriano Frassinelli,72496,Italy-1,Bobsleigh,1972,1,Winter
"Adrie ""Ard"" Schenk",212557,Netherlands,Speed Skating,1968,4,Winter
Adrien Louis Albert Vandelle,249740,France,Military Ski Patrol,1924,1,Winter
Adrien Plavsic,189975,Canada,Ice Hockey,1992,1,Winter
Aino-Kaisa Saarinen,207202,Finland,Cross Country Skiing,2006,5,Winter
Aja L. Evans,65308,United States-2,Bobsleigh,2014,1,Winter
Aki Tapani Karvonen,114045,Finland,Cross Country Skiing,1984,3,Winter
"Aki-Petteri Arvid ""Aki"" Berg",19660,Finland,Ice Hockey,1998,2,Winter
Akira Kuroiwa,129443,Japan,Speed Skating,1988,1,Winter
Akito Watabe,257370,Japan,Nordic Combined,2014,1,Winter
Akitsugu Konno,123686,Japan,Ski Jumping,1972,1,Winter
Aksel Lund Svindal,233246,Norway,Alpine Skiing,2010,3,Winter
"Aku ""August"" Eskelinen",64818,Finland,Military Ski Patrol,1924,1,Winter
Alain Calmat,33950,France,Figure Skating,1964,1,Winter
"Alan Morgan ""Al"" Washbond",257278,United States-1,Bobsleigh,1936,1,Winter
Alana Olga Blahoski,22910,United States,Ice Hockey,1998,1,Winter
Alanna Kraus (-Handley),126549,Canada,Short Track Speed Skating,2002,2,Winter
Albert Geromini,78403,Switzerland,Ice Hockey,1928,1,Winter
Albert Giger,79198,Switzerland,Cross Country Skiing,1972,1,Winter
"Albert Gordon ""Bert"" Duncanson",59817,Canada,Ice Hockey,1932,1,Winter
"Albert John ""Bert"" McCaffrey",153902,Canada,Ice Hockey,1924,1,Winter
Albert Madrin,145928,Switzerland-1,Bobsleigh,1952,1,Winter
Albert Mikhaylovich Demchenko,53472,Russia,Luge,2006,3,Winter
"Albert Romo ""Ab"" Renaud",198985,Canada,Ice Hockey,1948,1,Winter
"Albertina Iosifovna ""Berta"" Kolokoltseva (Zlobina-)",123221,Soviet Union,Speed Skating,1964,1,Winter
Alberto Tomba,241389,Italy,Alpine Skiing,1988,5,Winter
Albina Khamitovna Akhatova,2934,Russia,Biathlon,1998,5,Winter
Ale Hemsk,93934,Czech Republic,Ice Hockey,2006,1,Winter
Ale Kotalk,125213,Czech Republic,Ice Hockey,2006,1,Winter
