pays,or,argent,bronze,total_medals,score
Canada,220,151,46,417,1008
United States,70,165,87,322,627
Germany,101,105,51,257,564
Norway,89,81,63,233,492
Russia,72,73,71,216,433
Sweden,78,61,58,197,414
Finland,17,56,162,235,325
Austria,40,48,66,154,282
Italy,33,36,50,119,221
South Korea,50,26,10,86,212
Switzerland,28,17,49,94,167
Netherlands,29,21,30,80,159
France,19,23,52,94,155
Czech Republic,27,12,34,73,139
China,14,26,30,70,124
Unified Team,31,8,12,51,121
Japan,16,18,22,56,106
Germany-1,18,14,14,46,96
Russia-1,22,6,6,34,84
Germany-2,14,4,6,24,56
United States-1,6,14,8,28,54
Switzerland-1,4,12,10,26,46
Canada-1,10,4,8,22,46
Great Britain,7,5,13,25,44
Poland,5,9,9,23,42
Belarus,6,4,5,15,31
Austria-1,8,2,0,10,28
Australia,5,3,7,15,28
Czechoslovakia,0,0,27,27,27
Slovenia,2,4,12,18,26
Croatia,4,6,1,11,25
Italy-1,4,0,10,14,22
Ukraine,5,1,3,9,20
United States-2,2,2,10,14,20
Russia-2,0,10,0,10,20
Estonia,4,2,1,7,17
Latvia-1,0,6,2,8,14
Unified Team-1,4,0,0,4,12
Kazakhstan,1,3,3,7,12
France-1,2,2,2,6,12
China-1,2,2,2,6,12
Slovakia,2,2,1,5,11
Denmark,0,5,0,5,10
Latvia,0,2,5,7,9
Bulgaria,1,2,2,5,9
Switzerland-2,0,2,2,4,6
Unified Team-2,0,2,2,4,6
China-2,0,2,0,2,4
Luxembourg,0,2,0,2,4
Italy-2,0,2,0,2,4
Canada-2,0,2,0,2,4
Uzbekistan,1,0,0,1,3
Ukraine-1,0,0,2,2,2
China-3,0,0,2,2,2
New Zealand,0,1,0,1,2
Spain,0,0,1,1,1
Belgium,0,0,1,1,1
North Korea,0,0,1,1,1
