nom,ID,pays,discipline,année,médaille,saison
"Michael Fred Phelps, II",187888,United States,Swimming,2004,28,Summer
"Dara Grace Torres (-Hoffman, -Minas)",242074,United States,Swimming,1984,12,Summer
Ryan Steven Lochte,141425,United States,Swimming,2004,12,Summer
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",239224,United States,Swimming,1992,12,Summer
Natalie Anne Coughlin (-Hall),45404,United States,Swimming,2004,12,Summer
Carl Townsend Osburn,178447,United States,Shooting,1912,11,Summer
Mark Andrew Spitz,226657,United States,Swimming,1968,11,Summer
"Matthew Nicholas ""Matt"" Biondi",22089,United States,Swimming,1984,11,Summer
"Gary Wayne Hall, Jr.",88819,United States,Swimming,1996,10,Summer
"Raymond Clarence ""Ray"" Ewry",65574,United States,Athletics,1900,10,Summer
Larysa Semenivna Latynina (Diriy-),133184,Soviet Union,Gymnastics,1956,18,Summer
Nikolay Yefimovich Andrianov,7511,Soviet Union,Gymnastics,1972,15,Summer
Borys Anfiyanovych Shakhlin,217313,Soviet Union,Gymnastics,1956,13,Summer
Viktor Ivanovych Chukarin,41481,Soviet Union,Gymnastics,1952,11,Summer
Polina Hryhorivna Astakhova,10406,Soviet Union,Gymnastics,1956,10,Summer
Aleksandr Nikolayevich Dityatin,56192,Soviet Union,Gymnastics,1976,10,Summer
Mikhail Yakovlevich Voronin,254685,Soviet Union,Gymnastics,1968,9,Summer
Lyudmila Ivanovna Turishcheva (-Borzova),245071,Soviet Union,Gymnastics,1968,9,Summer
Yury Yevlampiyevich Titov,240553,Soviet Union,Gymnastics,1956,9,Summer
Sofiya Ivanovna Muratova (Poduzdova-),166153,Soviet Union,Gymnastics,1956,8,Summer
Isabelle Regina Werth,259131,Germany,Equestrianism,1992,10,Summer
Franziska van Almsick,247933,Germany,Swimming,1992,10,Summer
Reiner Klimke,121144,Germany,Equestrianism,1964,8,Summer
Dagmar Hase,91521,Germany,Swimming,1992,7,Summer
Hans Gnter Winkler,261837,Germany,Equestrianism,1956,7,Summer
Karl Alfred Markus Schwarzmann,214917,Germany,Gymnastics,1936,6,Summer
Hermann Otto Ludwig Weingrtner,258382,Germany,Gymnastics,1896,6,Summer
Katrin Wagner-Augustin,255515,Germany,Canoeing,2000,6,Summer
Josef Carl Peter Neckermann,169079,Germany,Equestrianism,1960,6,Summer
Konrad Frey,73034,Germany,Gymnastics,1936,6,Summer
Henry Taylor,237074,Great Britain,Swimming,1906,8,Summer
Bradley Marc Wiggins,260396,Great Britain,Cycling,2000,8,Summer
"Christopher Andrew ""Chris"" Hoy",99551,Great Britain,Cycling,2000,7,Summer
Jason Francis Kenny,115988,Great Britain,Cycling,2008,7,Summer
"Stephen Geoffrey ""Steven"" Redgrave",198113,Great Britain,Rowing,1984,6,Summer
John Arthur Jarvis,106745,Great Britain,Swimming,1900,5,Summer
Katherine Jane Grainger,83275,Great Britain,Rowing,2000,5,Summer
Max Antony Whitlock,259824,Great Britain,Gymnastics,2012,5,Summer
Jack Beresford,19595,Great Britain,Rowing,1920,5,Summer
"Charles Benedict ""Ben"" Ainslie",2688,Great Britain,Sailing,1996,5,Summer
Roger Franois Ducret,59264,France,Fencing,1920,8,Summer
Philippe Louis Eugne Cattiau,37103,France,Fencing,1920,8,Summer
Lon Ernest Moreaux,163115,France,Shooting,1900,7,Summer
Maurice Marie Lecoq,134551,France,Shooting,1900,6,Summer
Christian Marie Auguste d'Oriola,56456,France,Fencing,1948,6,Summer
Daniel Jean Claude Ernest Revenu,199452,France,Fencing,1964,6,Summer
Lucien Alphonse Paul Gaudin,76998,France,Fencing,1920,6,Summer
Philippe Claude Riboud,199948,France,Fencing,1980,6,Summer
"Georges Eugne William ""Go"" Buchard",31137,France,Fencing,1924,6,Summer
Jean-Franois Lamour,131594,France,Fencing,1984,5,Summer
Edoardo Mangiarotti,148317,Italy,Fencing,1936,13,Summer
Giulio Gaudini,77005,Italy,Fencing,1928,9,Summer
Maria Valentina Vezzali,252115,Italy,Fencing,1996,9,Summer
Giovanna Trillini,243444,Italy,Fencing,1992,8,Summer
Gustavo Marzi,151493,Italy,Fencing,1928,7,Summer
Nedo Nadi,167260,Italy,Fencing,1912,6,Summer
Aldo Montano,162221,Italy,Fencing,1936,6,Summer
Giuseppe Delfino,53105,Italy,Fencing,1952,6,Summer
Piero D'Inzeo,54677,Italy,Equestrianism,1956,6,Summer
Raimondo D'Inzeo,54692,Italy,Equestrianism,1956,6,Summer
Leisel Marie Jones,110135,Australia,Swimming,2000,9,Summer
Ian James Thorpe,239615,Australia,Swimming,2000,9,Summer
Dawn Lorraine Fraser,72408,Australia,Swimming,1956,8,Summer
Petria Ann Thomas (-Jones),239046,Australia,Swimming,1996,8,Summer
"Susan ""Susie"" O'Neill",177255,Australia,Swimming,1992,8,Summer
"Lisbeth Constance ""Libby"" Lenton-Trickett",136710,Australia,Swimming,2004,7,Summer
Grant George Hackett,87895,Australia,Swimming,2000,7,Summer
Shirley Barbara Strickland de la Hunty,230647,Australia,Athletics,1948,7,Summer
McKEON Emma,8481,Australia,Swimming,2020,7,Summer
Anna Maree Devenish Meares,155384,Australia,Cycling,2004,6,Summer
gnes Keleti-Srkny (Klein),115440,Hungary,Gymnastics,1952,10,Summer
