Year_Group,continent,Region,Population,Climate,nb_medals,PIB_per_Capita
1945-1990,Europe,Albania,2414144.580645161,Moderate climate (5 C-25 C),5.0,2767.89
1945-1990,Africa,Algeria,16849252.16129032,Moderate climate (5 C-25 C),27.333333333333332,6799.806363636363
1945-1990,Africa,Angola,7439474.451612903,Moderate climate (5 C-25 C),25.0,1518.8136363636365
1945-1990,South America,Argentina,26133844.032258064,Moderate climate (5 C-25 C),80.3,6833.216363636364
1945-1990,North America,Aruba,59074.0,Hot climate (>25 C),12.0,17272.85
1945-1990,Oceania,Australia,13667648.096774194,Moderate climate (5 C-25 C),150.38095238095238,14577.47090909091
1945-1990,Europe,Austria,7465127.774193549,Moderate climate (5 C-25 C),110.45454545454545,15568.544545454544
1945-1990,Asia,Bahrain,306975.32258064515,Hot climate (>25 C),15.0,26198.5
1945-1990,Asia,Bangladesh,79446627.19354838,Hot climate (>25 C),6.5,870.1774545454545
1945-1990,North America,Barbados,249213.38709677418,Hot climate (>25 C),20.2,7720.310909090909
1945-1990,Europe,Belgium,9691511.0,Moderate climate (5 C-25 C),68.45,14795.037272727273
1945-1990,North America,Belize,133654.96774193548,Hot climate (>25 C),7.8,2680.0754545454547
1945-1990,Africa,Benin,3606914.9677419355,Hot climate (>25 C),8.25,1096.5591818181817
1945-1990,Asia,Bhutan,380889.4193548387,Moderate climate (5 C-25 C),6.0,993.843909090909
1945-1990,Africa,Botswana,810590.1935483871,Moderate climate (5 C-25 C),9.0,4101.978181818182
1945-1990,South America,Brazil,109077944.41935484,Hot climate (>25 C),118.0909090909091,5779.890909090909
1945-1990,Europe,Bulgaria,8596285.032258065,Moderate climate (5 C-25 C),107.75,7193.2245454545455
1945-1990,Africa,Burkina Faso,6475481.0322580645,Hot climate (>25 C),5.0,475.4751818181818
1945-1990,Asia,Cambodia,6124467.29032258,Hot climate (>25 C),11.333333333333334,707.61375
1945-1990,Africa,Cameroon,7679839.322580645,Moderate climate (5 C-25 C),19.285714285714285,1966.0009090909089
1945-1990,North America,Canada,22898579.322580647,Cold climate (<=5 C),193.71428571428572,16238.154545454547
1945-1990,Africa,Central African Republic,2266207.419354839,Hot climate (>25 C),6.333333333333333,581.4846363636364
1945-1990,Africa,Chad,4245522.354838709,Hot climate (>25 C),4.0,751.6355454545454
1945-1990,South America,Chile,10704112.161290323,Moderate climate (5 C-25 C),23.894736842105264,4318.961818181819
1945-1990,Asia,China,895812580.6451613,Moderate climate (5 C-25 C),77.8125,618.8966363636364
1945-1990,South America,Colombia,23618414.322580647,Moderate climate (5 C-25 C),44.3,3855.634545454546
1945-1990,North America,Costa Rica,2146573.806451613,Moderate climate (5 C-25 C),16.0,4153.290909090909
1945-1990,Europe,Cyprus,672137.0967741936,Moderate climate (5 C-25 C),10.333333333333334,9636.32
1945-1990,Europe,Denmark,4972233.806451613,Moderate climate (5 C-25 C),76.23529411764706,17173.36818181818
1945-1990,North America,Dominican Republic,5104275.903225807,Moderate climate (5 C-25 C),12.857142857142858,3177.708181818182
1945-1990,South America,Ecuador,7266256.935483871,Moderate climate (5 C-25 C),16.5,3901.203636363636
1945-1990,North America,El Salvador,4082090.2258064514,Hot climate (>25 C),36.0,2378.958181818182
