Year_Group,continent,Region,Population,Season,Climate,nb_medals,PIB_per_Capita
1945-1990,Europe,Albania,2414144.580645161,Summer,Moderate climate (5 C-25 C),5.0,2767.89
1945-1990,Africa,Algeria,16849252.16129032,Summer,Moderate climate (5 C-25 C),27.333333333333332,6799.806363636363
1945-1990,Africa,Angola,7439474.451612903,Summer,Moderate climate (5 C-25 C),25.0,1518.8136363636365
1945-1990,South America,Argentina,26133844.032258064,Summer,Moderate climate (5 C-25 C),138.7,6833.216363636364
1945-1990,South America,Argentina,26133844.032258064,Winter,Moderate climate (5 C-25 C),21.9,6833.216363636364
1945-1990,North America,Aruba,59074.0,Summer,Hot climate (>25 C),12.0,17272.85
1945-1990,Oceania,Australia,13667648.096774194,Summer,Moderate climate (5 C-25 C),268.8181818181818,14577.47090909091
1945-1990,Oceania,Australia,13667648.096774194,Winter,Moderate climate (5 C-25 C),20.1,14577.47090909091
1945-1990,Europe,Austria,7465127.774193549,Summer,Moderate climate (5 C-25 C),127.9090909090909,15568.544545454544
1945-1990,Europe,Austria,7465127.774193549,Winter,Moderate climate (5 C-25 C),93.0,15568.544545454544
1945-1990,Asia,Bahrain,306975.32258064515,Summer,Hot climate (>25 C),15.0,26198.5
1945-1990,Asia,Bangladesh,79446627.19354838,Summer,Hot climate (>25 C),6.5,870.1774545454545
1945-1990,North America,Barbados,249213.38709677418,Summer,Hot climate (>25 C),20.2,7720.310909090909
1945-1990,Europe,Belgium,9691511.0,Summer,Moderate climate (5 C-25 C),117.0909090909091,14795.037272727273
1945-1990,Europe,Belgium,9691511.0,Winter,Moderate climate (5 C-25 C),9.0,14795.037272727273
1945-1990,North America,Belize,133654.96774193548,Summer,Hot climate (>25 C),7.8,2680.0754545454547
1945-1990,Africa,Benin,3606914.9677419355,Summer,Hot climate (>25 C),8.25,1096.5591818181817
1945-1990,Asia,Bhutan,380889.4193548387,Summer,Moderate climate (5 C-25 C),6.0,993.843909090909
1945-1990,Africa,Botswana,810590.1935483871,Summer,Moderate climate (5 C-25 C),9.0,4101.978181818182
1945-1990,South America,Brazil,109077944.41935484,Summer,Hot climate (>25 C),118.0909090909091,5779.890909090909
1945-1990,Europe,Bulgaria,8596285.032258065,Summer,Moderate climate (5 C-25 C),211.88888888888889,7193.2245454545455
1945-1990,Europe,Bulgaria,8596285.032258065,Winter,Moderate climate (5 C-25 C),22.545454545454547,7193.2245454545455
1945-1990,Africa,Burkina Faso,6475481.0322580645,Summer,Hot climate (>25 C),5.0,475.4751818181818
1945-1990,Asia,Cambodia,6124467.29032258,Summer,Hot climate (>25 C),11.333333333333334,707.61375
1945-1990,Africa,Cameroon,7679839.322580645,Summer,Moderate climate (5 C-25 C),19.285714285714285,1966.0009090909089
1945-1990,North America,Canada,22898579.322580647,Summer,Cold climate (<=5 C),306.7,16238.154545454547
1945-1990,North America,Canada,22898579.322580647,Winter,Cold climate (<=5 C),91.0,16238.154545454547
1945-1990,Africa,Central African Republic,2266207.419354839,Summer,Hot climate (>25 C),6.333333333333333,581.4846363636364
1945-1990,Africa,Chad,4245522.354838709,Summer,Hot climate (>25 C),4.0,751.6355454545454
1945-1990,South America,Chile,10704112.161290323,Summer,Moderate climate (5 C-25 C),35.6,4318.961818181819
1945-1990,South America,Chile,10704112.161290323,Winter,Moderate climate (5 C-25 C),10.88888888888889,4318.961818181819
1945-1990,Asia,China,895812580.6451613,Summer,Moderate climate (5 C-25 C),86.3076923076923,618.8966363636364
1945-1990,Asia,China,895812580.6451613,Winter,Moderate climate (5 C-25 C),41.0,618.8966363636364
1945-1990,South America,Colombia,23618414.322580647,Summer,Moderate climate (5 C-25 C),44.3,3855.634545454546
1945-1990,North America,Costa Rica,2146573.806451613,Summer,Moderate climate (5 C-25 C),20.714285714285715,4153.290909090909
1945-1990,North America,Costa Rica,2146573.806451613,Winter,Moderate climate (5 C-25 C),5.0,4153.290909090909
1945-1990,Europe,Cyprus,672137.0967741936,Summer,Moderate climate (5 C-25 C),12.666666666666666,9636.32
1945-1990,Europe,Cyprus,672137.0967741936,Winter,Moderate climate (5 C-25 C),8.0,9636.32
1945-1990,Europe,Denmark,4972233.806451613,Summer,Moderate climate (5 C-25 C),116.18181818181819,17173.36818181818
1945-1990,Europe,Denmark,4972233.806451613,Winter,Moderate climate (5 C-25 C),3.0,17173.36818181818
1945-1990,North America,Dominican Republic,5104275.903225807,Summer,Moderate climate (5 C-25 C),12.857142857142858,3177.708181818182
1945-1990,South America,Ecuador,7266256.935483871,Summer,Moderate climate (5 C-25 C),16.5,3901.203636363636
1945-1990,North America,El Salvador,4082090.2258064514,Summer,Hot climate (>25 C),36.0,2378.958181818182
1945-1990,Africa,Equatorial Guinea,326150.29032258067,Summer,Moderate climate (5 C-25 C),6.0,398.90909090909093
1945-1990,Africa,Ethiopia,32160539.548387095,Summer,Moderate climate (5 C-25 C),29.666666666666668,381.69872727272724
1945-1990,Oceania,Fiji,589459.0967741936,Summer,Moderate climate (5 C-25 C),12.142857142857142,3449.2854545454543
1945-1990,Oceania,Fiji,589459.0967741936,Winter,Moderate climate (5 C-25 C),1.0,3449.2854545454543
1945-1990,Europe,Finland,4714718.9677419355,Summer,Cold climate (<=5 C),167.63636363636363,13973.995454545453
1945-1990,Europe,Finland,4714718.9677419355,Winter,Cold climate (<=5 C),76.81818181818181,13973.995454545453
1945-1990,Europe,France,53434124.22580645,Summer,Moderate climate (5 C-25 C),325.54545454545456,14903.313636363637
1945-1990,Europe,France,53434124.22580645,Winter,Moderate climate (5 C-25 C),65.81818181818181,14903.313636363637
1945-1990,Africa,Gabon,693270.6129032258,Summer,Hot climate (>25 C),2.3333333333333335,10552.103636363636
1945-1990,Europe,Germany,77420144.83870968,Summer,Moderate climate (5 C-25 C),418.93333333333334,15425.206363636362
1945-1990,Europe,Germany,77420144.83870968,Winter,Moderate climate (5 C-25 C),107.4375,15425.206363636362
1945-1990,Africa,Ghana,10651291.967741935,Summer,Hot climate (>25 C),27.0,1354.2936363636363
1945-1990,Europe,Greece,9212380.806451613,Summer,Moderate climate (5 C-25 C),53.18181818181818,10951.512727272728
1945-1990,Europe,Greece,9212380.806451613,Winter,Moderate climate (5 C-25 C),7.9,10951.512727272728
1945-1990,North America,Grenada,97099.83870967742,Summer,Hot climate (>25 C),6.5,3212.3927272727274
1945-1990,North America,Guatemala,6251679.096774193,Summer,Moderate climate (5 C-25 C),34.42857142857143,2953.2663636363636
1945-1990,North America,Guatemala,6251679.096774193,Winter,Moderate climate (5 C-25 C),15.0,2953.2663636363636
1945-1990,Africa,Guinea,4743852.70967742,Summer,Hot climate (>25 C),8.25,930.583
1945-1990,South America,Guyana,713926.4193548387,Summer,Hot climate (>25 C),6.1,2681.09
1945-1990,North America,Haiti,5187556.387096774,Summer,Moderate climate (5 C-25 C),6.0,1917.890909090909
1945-1990,North America,Honduras,3317301.2258064514,Summer,Moderate climate (5 C-25 C),13.25,1694.18
1945-1990,Europe,Hungary,10432313.774193548,Summer,Moderate climate (5 C-25 C),306.0,8993.298181818182
1945-1990,Europe,Hungary,10432313.774193548,Winter,Moderate climate (5 C-25 C),14.727272727272727,8993.298181818182
1945-1990,Europe,Iceland,216664.09677419355,Summer,Cold climate (<=5 C),20.0,15314.82
1945-1990,Europe,Iceland,216664.09677419355,Winter,Cold climate (<=5 C),11.8,15314.82
