pays,or,argent,bronze,total_medals,score
United States,2446,1351,1187,4984,11227
Soviet Union,830,635,596,2061,4356
Germany,585,539,644,1768,3477
Great Britain,522,619,598,1739,3402
France,486,527,536,1549,3048
Italy,514,484,462,1460,2972
Australia,372,478,571,1421,2643
Hungary,441,335,398,1174,2391
Sweden,332,378,330,1040,2082
Russia,335,358,350,1043,2071
China,353,348,271,972,2026
Japan,298,326,355,979,1901
East Germany,337,277,227,841,1792
Netherlands,268,305,365,938,1779
Canada,169,235,349,753,1326
Romania,163,207,290,660,1193
Denmark,172,242,167,581,1167
South Korea,175,203,166,544,1097
Spain,111,283,157,551,1056
Poland,125,197,250,572,1019
Norway,153,167,170,490,963
West Germany,144,170,188,502,960
Brazil,132,178,194,504,946
Cuba,172,130,121,423,897
Finland,132,118,202,452,834
Belgium,112,158,158,428,810
Yugoslavia,130,161,92,383,804
Switzerland,99,180,141,420,798
Czechoslovakia,79,142,107,328,628
Bulgaria,60,143,143,346,609
New Zealand,114,83,90,287,598
Argentina,91,102,116,309,593
India,132,21,61,214,499
Unified Team,92,61,67,220,465
Ukraine,43,58,116,217,361
Greece,44,83,63,190,361
Jamaica,47,76,55,178,348
Austria,29,89,58,176,323
Croatia,59,52,38,149,319
Pakistan,42,45,34,121,250
South Africa,33,49,52,134,249
Kenya,38,45,33,116,237
Turkey,42,29,37,108,221
Mexico,30,26,78,134,220
Belarus,19,46,69,134,218
Serbia,30,30,60,120,210
Nigeria,23,31,47,101,178
Iran,21,23,31,75,140
Kazakhstan,19,22,37,78,138
Czech Republic,20,24,30,74,138
Uruguay,31,2,30,63,127
Serbia and Montenegro,12,26,26,64,114
Ethiopia,23,10,24,57,113
Chinese Taipei,6,34,25,65,111
China-1,26,12,8,46,110
North Korea,16,15,32,63,110
Slovakia,14,19,16,49,96
Fiji,26,0,13,39,91
Lithuania,6,8,48,62,82
United States-1,24,2,6,32,82
Ireland,12,13,18,43,80
Azerbaijan,7,15,29,51,80
Estonia,13,10,20,43,79
Bahamas,14,11,13,38,77
Union des Socits Franais de Sports Athletiques,17,12,0,29,75
Australasia,20,4,5,29,73
Georgia,10,11,19,40,71
Uzbekistan,12,7,19,38,69
China-2,14,6,12,32,66
Great Britain-1,16,6,4,26,64
Cameroon,20,1,1,22,63
Slovenia,9,10,16,35,63
Indonesia,9,12,12,33,63
Thailand,10,8,14,32,60
Zimbabwe,17,4,1,22,60
Egypt,8,9,16,33,58
Portugal,5,8,26,39,57
England-1,11,12,0,23,57
Vesper Boat Club,18,0,0,18,54
Trinidad and Tobago,7,8,17,32,54
Colombia,5,12,15,32,54
Dominican Republic,3,9,27,39,54
Leander Club-1,18,0,0,18,54
"Large boat, Central Naval Prep School ""Poros""-1",17,0,0,17,51
Latvia,7,11,5,23,48
South Korea-1,6,6,18,30,48
Chile,3,9,20,32,47
Great Britain-2,4,10,14,28,46
Mongolia,2,11,17,30,45
Brazil-1,6,12,2,20,44
Morocco,7,5,12,24,43
Royal Club Nautique de Gand,0,21,0,21,42
"Phalainis ton Thorichtou ""Hydra""-2",0,17,7,24,41
Galt Football Club,13,0,0,13,39
"Marinai della nave da guerra ""Varese""",7,0,17,24,38
United States-2,6,8,4,18,38
Winnipeg Shamrocks-1,12,0,0,12,36
Angelita,12,0,0,12,36
Devon and Somerset Wanderers,12,0,0,12,36
Paraguay,0,17,0,17,34
Llanoria,11,0,0,11,33
Upton Park FC,11,0,0,11,33
Iceland,0,15,2,17,32
Algeria,5,4,8,17,31
Peru,1,14,0,15,31
Venezuela,3,6,10,19,31
Armenia,2,7,11,20,31
Israel,3,1,19,23,30
Western Golf Association-1,10,0,0,10,30
Hera-1,10,0,0,10,30
Moseley Wanderers,0,15,0,15,30
Frankfurt Club,0,15,0,15,30
Magda IX,10,0,0,10,30
Cornwall,0,15,0,15,30
Indonesia-1,4,6,4,14,28
South Korea-2,4,4,8,16,28
Montenegro,0,14,0,14,28
Minerva Amsterdam,3,5,9,17,28
Tunisia,4,4,7,15,27
Atlanta,9,0,0,9,27
Heira II,9,0,0,9,27
Toronto Argonauts,0,9,9,18,27
USFSA,0,13,0,13,26
Malaysia,0,10,5,15,25
Ghana,0,1,23,24,25
Kitty-1,8,0,0,8,24
Bucintoro Venezia,8,0,0,8,24
Ireland-2,0,12,0,12,24
St. Louis Amateur Athletic Association,0,12,0,12,24
London City Police-1,8,0,0,8,24
Uganda,4,4,3,11,23
France-1,2,5,7,14,23
Smyrna,0,11,0,11,22
Christian Brothers' College-1,0,11,0,11,22
Racing Club de France,0,11,0,11,22
Chicago Athletic Association-2,0,11,0,11,22
New York Athletic Club-1,7,0,0,7,21
Eleda,7,0,0,7,21
Mosk II,7,0,0,7,21
"Osborne Swimming Club, Manchester",7,0,0,7,21
Philippines,1,5,8,14,21
Erna Signe,0,10,0,10,20
Mouchette-2,0,10,0,10,20
Aschenbrodel,4,4,0,8,20
Germany-1,4,2,4,10,20
Brussels Swimming and Water Polo Club,0,10,0,10,20
Trans-Mississippi Golf Association-2,0,10,0,10,20
Cincinnati Archers,4,4,0,8,20
L'Aile VI,6,0,0,6,18
Italia,6,0,0,6,18
Quand-Mme-2,0,9,0,9,18
Denmark/Sweden,6,0,0,6,18
Scotia,6,0,0,6,18
Gyrinus-1,6,0,0,6,18
"Philadelphia Turngemeinde, Philadelphia",6,0,0,6,18
Olle,6,0,0,6,18
