pays,or,argent,bronze,total_medals,score
Canada,289,189,97,575,1342
United States,141,271,121,533,1086
Soviet Union,228,81,81,390,927
Norway,151,165,127,443,910
Sweden,125,126,177,428,804
Finland,66,145,215,426,703
Germany,115,114,68,297,641
Austria,67,80,97,244,458
Russia,72,73,71,216,433
Switzerland,48,38,97,183,317
Italy,43,41,59,143,270
Netherlands,42,38,42,122,244
Czechoslovakia,2,81,75,158,243
France,34,33,75,142,243
South Korea,50,26,10,86,212
East Germany,32,32,36,100,196
Great Britain,38,6,31,75,157
Czech Republic,27,12,34,73,139
Switzerland-1,20,22,30,72,134
United States-1,14,31,24,69,128
Germany-1,24,18,18,60,126
China,14,26,30,70,124
Unified Team,31,8,12,51,121
Japan,17,22,24,63,119
East Germany-1,22,10,8,40,94
West Germany,11,14,31,56,92
Russia-1,22,6,6,34,84
Canada-1,16,8,10,34,74
Soviet Union-1,22,4,0,26,74
Austria-1,12,16,4,32,72
Italy-1,14,6,14,34,68
Germany-2,14,4,11,29,61
United States-2,11,6,16,33,61
Poland,6,10,11,27,49
Switzerland-2,8,10,2,20,46
East Germany-2,4,8,10,22,38
West Germany-1,2,8,14,24,36
Soviet Union-2,0,12,12,24,36
Belarus,6,4,5,15,31
Australia,6,3,7,16,31
Slovenia,2,4,12,18,26
Croatia,4,6,1,11,25
Italy-2,0,10,4,14,24
India,7,0,0,7,21
Ukraine,5,1,3,9,20
Great Britain-1,4,4,0,8,20
Russia-2,0,10,0,10,20
Estonia,4,2,1,7,17
Belgium,2,4,2,8,16
Liechtenstein,2,2,5,9,15
Latvia-1,0,6,2,8,14
France-1,2,2,4,8,14
Yugoslavia,0,6,1,7,13
Kazakhstan,1,3,3,7,12
Unified Team-1,4,0,0,4,12
China-1,2,2,2,6,12
Slovakia,2,2,1,5,11
Hungary-1,0,2,6,8,10
Denmark,0,5,0,5,10
Bulgaria,1,2,3,6,10
Latvia,0,2,5,7,9
Hungary,0,2,2,4,6
West Germany-2,2,0,0,2,6
Austria-2,0,2,2,4,6
Unified Team-2,0,2,2,4,6
Belgium-1,0,0,5,5,5
Spain,1,0,1,2,4
China-2,0,2,0,2,4
Luxembourg,0,2,0,2,4
Canada-2,0,2,0,2,4
Nepal,1,0,0,1,3
North Korea,0,1,1,2,3
Uzbekistan,1,0,0,1,3
New Zealand,0,1,0,1,2
Romania-1,0,0,2,2,2
China-3,0,0,2,2,2
Ukraine-1,0,0,2,2,2
