nom,ID,pays,discipline,année,médaille,saison
"Michael Fred Phelps, II",187888,United States,Swimming,2004,28,Summer
"Dara Grace Torres (-Hoffman, -Minas)",242074,United States,Swimming,1984,12,Summer
Ryan Steven Lochte,141425,United States,Swimming,2004,12,Summer
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",239224,United States,Swimming,1992,12,Summer
Natalie Anne Coughlin (-Hall),45404,United States,Swimming,2004,12,Summer
Carl Townsend Osburn,178447,United States,Shooting,1912,11,Summer
Mark Andrew Spitz,226657,United States,Swimming,1968,11,Summer
"Matthew Nicholas ""Matt"" Biondi",22089,United States,Swimming,1984,11,Summer
"Gary Wayne Hall, Jr.",88819,United States,Swimming,1996,10,Summer
"Raymond Clarence ""Ray"" Ewry",65574,United States,Athletics,1900,10,Summer
Aaron Wells Peirsol,184573,United States,Swimming,2000,7,Summer
"Alexandra Rose ""Aly"" Raisman",196043,United States,Gymnastics,2012,6,Summer
"Alfred Page ""Al"" Lane",131859,United States,Shooting,1912,6,Summer
Allison Rodgers Schmitt,213437,United States,Swimming,2008,8,Summer
Allyson Michelle Felix,67598,United States,Athletics,2004,9,Summer
Amanda Ray Beard (-Brown),16847,United States,Swimming,1996,7,Summer
Amy Deloris Van Dyken (-Rouen),248806,United States,Swimming,1996,6,Summer
"Angelina L. ""Angel"" Martino (Myers-, -Sims)",151161,United States,Swimming,1992,6,Summer
Anton Heida,93168,United States,Gymnastics,1904,6,Summer
Brendan Joseph Hansen,90161,United States,Swimming,2004,6,Summer
Burton Cecil Downing,58214,United States,Cycling,1904,6,Summer
"Charles Meldrum ""Charlie"" Daniels",48923,United States,Swimming,1904,8,Summer
Dana Whitney Vollmer (-Grant),254061,United States,Swimming,2004,7,Summer
"Donald Arthur ""Don"" Schollander",213824,United States,Swimming,1964,8,Summer
"Frederick Carlton ""Carl"" Lewis",137689,United States,Athletics,1984,10,Summer
George Louis Eyser,65626,United States,Gymnastics,1904,6,Summer
"Jacqueline ""Jackie"" Joyner-Kersee",110860,United States,Athletics,1984,6,Summer
"James Davies ""Jim"" Lightbody",138944,United States,Athletics,1904,6,Summer
Jason Edward Lezak,137858,United States,Swimming,2000,8,Summer
John Frederick Hencken,93960,United States,Swimming,1972,6,Summer
John Michael Plumb,190173,United States,Equestrianism,1964,6,Summer
"Kathleen Genevieve ""Katie"" Ledecky",134631,United States,Swimming,2012,6,Summer
"Kimberly Susan ""Kim"" Rhode (-Harryman)",199717,United States,Shooting,1996,6,Summer
Lloyd Spencer Spooner,226727,United States,Shooting,1920,7,Summer
Martin Joseph Sheridan,218200,United States,Athletics,1904,9,Summer
"Matthew ""Matt"" Grevers",84265,United States,Swimming,2008,6,Summer
"Melissa Jeanette ""Missy"" Franklin",72309,United States,Swimming,2012,6,Summer
Nathan Ghar-Jun Adrian,1843,United States,Swimming,2008,8,Summer
Ralph Waldo Rose,204276,United States,Athletics,1904,6,Summer
Rebecca Soni,225249,United States,Swimming,2008,6,Summer
"Robert ""Bob"" Garrett",76562,United States,Athletics,1896,6,Summer
"Shannon Lee Miller (-Phillips, -Falconetti)",159255,United States,Gymnastics,1992,7,Summer
Shirley Frances Babashoff,11776,United States,Swimming,1972,9,Summer
"Thomas Michael ""Tom"" Jager",105377,United States,Swimming,1984,7,Summer
"Willis Augustus Lee, Jr.",135508,United States,Shooting,1920,7,Summer
Larysa Semenivna Latynina (Diriy-),133184,Soviet Union,Gymnastics,1956,18,Summer
Nikolay Yefimovich Andrianov,7511,Soviet Union,Gymnastics,1972,15,Summer
Borys Anfiyanovych Shakhlin,217313,Soviet Union,Gymnastics,1956,13,Summer
Viktor Ivanovych Chukarin,41481,Soviet Union,Gymnastics,1952,11,Summer
Polina Hryhorivna Astakhova,10406,Soviet Union,Gymnastics,1956,10,Summer
Aleksandr Nikolayevich Dityatin,56192,Soviet Union,Gymnastics,1976,10,Summer
Mikhail Yakovlevich Voronin,254685,Soviet Union,Gymnastics,1968,9,Summer
Lyudmila Ivanovna Turishcheva (-Borzova),245071,Soviet Union,Gymnastics,1968,9,Summer
Yury Yevlampiyevich Titov,240553,Soviet Union,Gymnastics,1956,9,Summer
Sofiya Ivanovna Muratova (Poduzdova-),166153,Soviet Union,Gymnastics,1956,8,Summer
Mariya Kindrativna Horokhovska,98812,Soviet Union,Gymnastics,1952,7,Summer
"Nellya Vladimirovna ""Nelli"" Kim (-Achasov)",118891,Soviet Union,Gymnastics,1976,6,Summer
"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",124203,Soviet Union,Gymnastics,1972,6,Summer
Pavel Anatolyevich Kolobkov,123190,Soviet Union,Fencing,1988,6,Summer
Pavel Serafimovich Lednyov,134659,Soviet Union,Modern Pentathlon,1968,7,Summer
Tamara Ivanovna Manina,148407,Soviet Union,Gymnastics,1956,6,Summer
Viktor Aleksandrovich Sidyak,219435,Soviet Union,Fencing,1968,6,Summer
Vladimir Aliverovich Nazlymov,168853,Soviet Union,Fencing,1968,6,Summer
Yelena Dmitriyevna Novikova-Belova,173447,Soviet Union,Fencing,1968,6,Summer
Isabelle Regina Werth,259131,Germany,Equestrianism,1992,10,Summer
Franziska van Almsick,247933,Germany,Swimming,1992,10,Summer
