nom,ID,pays,discipline,année,médaille,saison
"Cynthia Nicole ""Cindy"" Klassen",120664,Canada,Speed Skating,2002,6,Winter
Marc Gagnon,74608,Canada,Short Track Speed Skating,1994,5,Winter
Franois-Louis Tremblay,243216,Canada,Short Track Speed Skating,2002,5,Winter
Jayna Hefford,93059,Canada,Ice Hockey,1998,5,Winter
Hayley Marie Wickenheiser,259987,Canada,Ice Hockey,1998,5,Winter
ric Bdard,17407,Canada,Short Track Speed Skating,1998,4,Winter
Jennifer Lori Botterill,26646,Canada,Ice Hockey,1998,4,Winter
Caroline Ouellette,179275,Canada,Ice Hockey,2002,4,Winter
Kristina Nicole Groves,85240,Canada,Speed Skating,2006,4,Winter
Charles Hamelin,89264,Canada,Short Track Speed Skating,2006,4,Winter
Apolo Anton Ohno,175654,United States,Short Track Speed Skating,2002,8,Winter
Bonnie Kathleen Blair (-Cruikshank),22918,United States,Speed Skating,1988,6,Winter
Samuel Bode Miller,159133,United States,Alpine Skiing,2002,6,Winter
Chad Paul Hedrick,92974,United States,Speed Skating,2006,5,Winter
Eric Arthur Heiden,93199,United States,Speed Skating,1980,5,Winter
Dianne Mary Holum,98028,United States,Speed Skating,1968,4,Winter
Julia Marie Mancuso (-Fish),148105,United States,Alpine Skiing,2006,4,Winter
"Jennifer Lynn ""Jenny"" Schmidgall-Potter",213214,United States,Ice Hockey,1998,4,Winter
Cathy Ann Turner,245146,United States,Short Track Speed Skating,1992,4,Winter
Angela Marie Ruggiero,205901,United States,Ice Hockey,1998,4,Winter
Raisa Petrovna Smetanina,223209,Soviet Union,Cross Country Skiing,1976,10,Winter
Galina Alekseyevna Kulakova,128719,Soviet Union,Cross Country Skiing,1968,8,Winter
Vladimir Mikhaylovich Smirnov,223310,Soviet Union,Cross Country Skiing,1988,7,Winter
Sergey Vladimirovich Chepikov,39696,Soviet Union,Biathlon,1988,6,Winter
Lidiya Pavlovna Skoblikova (-Polozkova),222310,Soviet Union,Speed Skating,1960,6,Winter
Yevgeny Romanovich Grishin,84789,Soviet Union,Speed Skating,1956,5,Winter
Aleksandr Ivanovich Tikhonov,240090,Soviet Union,Biathlon,1968,5,Winter
