nom,ID,pays,discipline,année,médaille,saison
Aaron Michael Miller,159116,United States,Ice Hockey,2002,1,Winter
Adam David Vernon Foote,71081,Canada,Ice Hockey,2002,1,Winter
Adam Enright,63859,Canada,Curling,2010,1,Winter
Adam Henryk Maysz,153757,Poland,Ski Jumping,2002,4,Winter
Adam Richard Deadmarsh,52198,United States,Ice Hockey,2002,1,Winter
Adelina Dmitriyevna Sotnikova,225576,Russia,Figure Skating,2014,1,Winter
Adrian Mark Aucoin,10808,Canada,Ice Hockey,1994,1,Winter
Adrien Plavsic,189975,Canada,Ice Hockey,1992,1,Winter
Aino-Kaisa Saarinen,207202,Finland,Cross Country Skiing,2006,5,Winter
Aja L. Evans,65308,United States-2,Bobsleigh,2014,1,Winter
"Aki-Petteri Arvid ""Aki"" Berg",19660,Finland,Ice Hockey,1998,2,Winter
Akito Watabe,257370,Japan,Nordic Combined,2014,1,Winter
Aksel Lund Svindal,233246,Norway,Alpine Skiing,2010,3,Winter
Alana Olga Blahoski,22910,United States,Ice Hockey,1998,1,Winter
Alanna Kraus (-Handley),126549,Canada,Short Track Speed Skating,2002,2,Winter
Albert Mikhaylovich Demchenko,53472,Russia,Luge,2006,3,Winter
Alberto Tomba,241391,Italy,Alpine Skiing,1992,3,Winter
Albina Khamitovna Akhatova,2934,Russia,Biathlon,1998,5,Winter
Ale Hemsk,93934,Czech Republic,Ice Hockey,2006,1,Winter
Ale Kotalk,125213,Czech Republic,Ice Hockey,2006,1,Winter
Ale Valenta,247549,Czech Republic,Freestyle Skiing,2002,1,Winter
Aleksander Barkov,14662,Finland,Ice Hockey,2014,1,Winter
Aleksandr Aleksandrovich Smyshlyayev,224013,Russia,Freestyle Skiing,2014,1,Winter
Aleksandr Andreyevich Bessmertnykh,20849,Russia,Cross Country Skiing,2014,1,Winter
Aleksandr Eduardovich Panzhinsky,181386,Russia,Cross Country Skiing,2010,1,Winter
Aleksandr Gennadyevich Legkov,135802,Russia,Cross Country Skiing,2014,2,Winter
Aleksandr Vladimirovich Denisyev,53833,Russia,Luge,2014,1,Winter
Aleksandr Vladimirovich Popov,191532,Unified Team,Biathlon,1992,1,Winter
Aleksandr Vladimirovich Tretyakov,243314,Russia,Skeleton,2010,2,Winter
"Aleksandr Vyacheslavovich ""Sasha"" Zhulin",269575,Unified Team-2,Figure Skating,1992,2,Winter
Aleksandr Vyacheslavovich Golubyov,81216,Russia,Speed Skating,1994,1,Winter
Aleksandr Yuryevich Zubkov,270606,Russia-1,Bobsleigh,2006,4,Winter
Aleksey Aleksandrovich Negodaylo,169233,Russia-1,Bobsleigh,2014,1,Winter
Aleksey Alekseyevich Morozov,163803,Russia,Ice Hockey,1998,1,Winter
Aleksey Anatolyevich Volkov,254004,Russia,Biathlon,2014,1,Winter
Aleksey Gennadyevich Grishin,84780,Belarus,Freestyle Skiing,2002,2,Winter
