pays,or,argent,bronze,total_medals,score
United States,997,559,521,2077,4630
Russia,334,351,348,1033,2052
Germany,345,270,394,1009,1969
Australia,261,330,410,1001,1853
China,325,319,204,848,1817
Great Britain,231,212,229,672,1346
France,211,204,198,613,1239
Netherlands,176,200,130,506,1058
Japan,147,196,211,554,1044
Italy,140,180,221,541,1001
Spain,101,215,133,449,866
South Korea,140,132,127,399,811
Brazil,123,126,132,381,753
Cuba,149,106,84,339,743
Canada,94,98,192,384,670
Hungary,120,94,93,307,641
Romania,84,70,85,239,477
Unified Team,92,61,67,220,465
Argentina,70,70,86,226,436
Denmark,89,53,51,193,424
Sweden,23,146,30,199,391
New Zealand,57,71,49,177,362
Ukraine,43,58,116,217,361
Poland,48,72,66,186,354
Norway,65,35,77,177,342
Croatia,59,52,38,149,319
Jamaica,40,57,49,146,283
Belarus,19,46,69,134,218
Serbia,30,30,60,120,210
Greece,23,45,24,92,183
Nigeria,23,30,41,94,170
Bulgaria,21,30,41,92,164
Kenya,24,33,22,79,160
Belgium,26,29,20,75,156
Switzerland,22,30,20,72,146
Czech Republic,20,24,30,74,138
Kazakhstan,19,22,37,78,138
Mexico,19,14,39,72,124
Serbia and Montenegro,12,26,26,64,114
Turkey,18,16,27,61,113
South Africa,16,21,22,59,112
Chinese Taipei,6,33,23,62,107
China-1,24,12,8,44,104
Slovakia,14,19,16,49,96
Ethiopia,18,9,20,47,92
Fiji,26,0,13,39,91
Iran,17,12,16,45,91
Lithuania,6,8,48,62,82
Azerbaijan,7,15,29,51,80
North Korea,14,10,17,41,79
Bahamas,14,11,13,38,77
Georgia,10,11,19,40,71
Uzbekistan,12,7,19,38,69
China-2,14,6,12,32,66
United States-1,18,2,6,26,64
Slovenia,9,10,16,35,63
Austria,7,14,12,33,61
Cameroon,20,0,0,20,60
Indonesia,9,9,12,30,57
Thailand,10,7,12,29,56
Finland,6,12,13,31,55
Dominican Republic,3,9,26,38,53
Ireland,8,7,11,26,49
South Korea-1,6,6,18,30,48
India,2,6,30,38,48
Colombia,5,10,12,27,47
Brazil-1,6,12,2,20,44
Latvia,7,9,4,20,43
Estonia,7,4,12,23,41
Trinidad and Tobago,6,6,10,22,40
Paraguay,0,17,0,17,34
Armenia,2,7,11,20,31
Morocco,4,4,10,18,30
Israel,3,1,19,23,30
Chile,3,1,18,22,29
Mongolia,2,6,11,19,29
Algeria,5,4,6,15,29
Iceland,0,14,1,15,29
Portugal,3,6,8,17,29
Indonesia-1,4,6,4,14,28
Montenegro,0,14,0,14,28
South Korea-2,4,4,6,14,26
Egypt,2,4,11,17,25
Malaysia,0,10,5,15,25
United States-2,4,4,4,12,24
Ghana,0,0,21,21,21
Germany-1,4,2,4,10,20
Venezuela,2,4,5,11,19
Tunisia,3,2,5,10,18
Pakistan,0,0,16,16,16
Zimbabwe,2,4,1,7,15
Czechoslovakia,4,1,1,6,15
Qatar,2,1,6,9,14
France-1,2,2,4,8,14
Czech Republic-1,0,4,6,10,14
Singapore,1,3,4,8,13
