nom,nom_norm,ID,pays,discipline,année,médaille,saison
"Cynthia Nicole ""Cindy"" Klassen",Cynthia Klassen,120664,Canada,Speed Skating,2002,6,Winter
Marc Gagnon,Marc Gagnon,74608,Canada,Short Track Speed Skating,1994,5,Winter
Franois-Louis Tremblay,Franois-Louis Tremblay,243216,Canada,Short Track Speed Skating,2002,5,Winter
Hayley Marie Wickenheiser,Hayley Wickenheiser,259987,Canada,Ice Hockey,1998,5,Winter
Jayna Hefford,Jayna Hefford,93059,Canada,Ice Hockey,1998,5,Winter
ric Bdard,ric Bdard,17407,Canada,Short Track Speed Skating,1998,4,Winter
Caroline Ouellette,Caroline Ouellette,179275,Canada,Ice Hockey,2002,4,Winter
Tania Vicent,Tania Vicent,252244,Canada,Short Track Speed Skating,1998,4,Winter
Jennifer Lori Botterill,Jennifer Botterill,26646,Canada,Ice Hockey,1998,4,Winter
Denny Morrison,Denny Morrison,163952,Canada,Speed Skating,2006,4,Winter
Apolo Anton Ohno,Apolo Ohno,175654,United States,Short Track Speed Skating,2002,8,Winter
Samuel Bode Miller,Samuel Miller,159133,United States,Alpine Skiing,2002,6,Winter
Chad Paul Hedrick,Chad Hedrick,92974,United States,Speed Skating,2006,5,Winter
Angela Marie Ruggiero,Angela Ruggiero,205901,United States,Ice Hockey,1998,4,Winter
Shani Earl Davis,Shani Davis,49918,United States,Speed Skating,2006,4,Winter
Julie Wu Chu,Julie Chu,41407,United States,Ice Hockey,2002,4,Winter
Julia Marie Mancuso (-Fish),Julia Mancuso,148105,United States,Alpine Skiing,2006,4,Winter
Bonnie Kathleen Blair (-Cruikshank),Bonnie Blair,22921,United States,Speed Skating,1992,4,Winter
Cathy Ann Turner,Cathy Turner,245146,United States,Short Track Speed Skating,1992,4,Winter
"Jennifer Lynn ""Jenny"" Schmidgall-Potter",Jennifer Schmidgall-Potter,213214,United States,Ice Hockey,1998,4,Winter
"Ursula ""Uschi"" Disl",Ursula Disl,56100,Germany,Biathlon,1992,9,Winter
Claudia Pechstein,Claudia Pechstein,184178,Germany,Speed Skating,1992,9,Winter
Sven Fischer,Sven Fischer,69764,Germany,Biathlon,1994,8,Winter
Ricco Gro,Ricco Gro,85060,Germany,Biathlon,1992,8,Winter
Gunda Niemann-Stirnemann-Kleemann,Gunda Niemann-Stirnemann-Kleemann,171263,Germany,Speed Skating,1992,8,Winter
"Katarina ""Kati"" Wilhelm",Katarina Wilhelm,260639,Germany,Biathlon,2002,7,Winter
Claudia Knzel-Nystad,Claudia Knzel-Nystad,129183,Germany,Cross Country Skiing,2002,6,Winter
Evi Sachenbacher-Stehle,Evi Sachenbacher-Stehle,207451,Germany,Cross Country Skiing,2002,5,Winter
Katja Seizinger (-Weber),Katja Seizinger,215855,Germany,Alpine Skiing,1992,5,Winter
Frank Luck,Frank Luck,143543,Germany,Biathlon,1994,5,Winter
"Anna Christine ""Anni"" Friesinger-Postma",Anna Friesinger-Postma,73209,Germany,Speed Skating,1998,5,Winter
Ole Einar Bjrndalen,Ole Bjrndalen,22701,Norway,Biathlon,1998,13,Winter
Marit Bjrgen,Marit Bjrgen,22668,Norway,Cross Country Skiing,2002,10,Winter
Kjetil Andr Aamodt,Kjetil Aamodt,60,Norway,Alpine Skiing,1992,8,Winter
Halvard Hanevold,Halvard Hanevold,89921,Norway,Biathlon,1998,6,Winter
Thomas Alsgaard (Alsgrd-),Thomas Alsgaard,5422,Norway,Cross Country Skiing,1994,6,Winter
Lasse Kjus (Kristoffersen-),Lasse Kjus,120535,Norway,Alpine Skiing,1994,5,Winter
Anita Moen-Guidon (-Moen Bonden),Anita Moen-Guidon,161073,Norway,Cross Country Skiing,1994,5,Winter
Emil Hegle Svendsen,Emil Svendsen,233081,Norway,Biathlon,2010,5,Winter
