nom,nom_norm,ID,pays,discipline,année,médaille,saison
Michael Fred Phelps,Michael Phelps,187888,United States,Swimming,2004,28,Summer
Ryan Steven Lochte,Ryan Lochte,141425,United States,Swimming,2004,12,Summer
Jennifer Elisabeth Jenny Thompson (-Cumpelik),Jennifer Thompson,239224,United States,Swimming,1992,12,Summer
Natalie Anne Coughlin (-Hall),Natalie Coughlin,45404,United States,Swimming,2004,12,Summer
Allyson Michelle Felix,Allyson Felix,67598,United States,Athletics,2004,9,Summer
Dara Grace Torres,Dara Torres,242078,United States,Swimming,1992,9,Summer
Allison Rodgers Schmitt,Allison Schmitt,213437,United States,Swimming,2008,8,Summer
Jason Edward Lezak,Jason Lezak,137858,United States,Swimming,2000,8,Summer
Nathan Ghar-Jun Adrian,Nathan Adrian,1843,United States,Swimming,2008,8,Summer
Aaron Wells Peirsol,Aaron Peirsol,184573,United States,Swimming,2000,7,Summer
Alexandra Rose Aly Raisman,Alexandra Raisman,196043,United States,Gymnastics,2012,6,Summer
Amanda Ray Beard (-Brown),Amanda Beard,16847,United States,Swimming,1996,7,Summer
Amy Deloris Van Dyken (-Rouen),Amy Dyken,248806,United States,Swimming,1996,6,Summer
Anastasiya Valeryevna Nastia Liukin,Anastasiya Liukin,140842,United States,Gymnastics,2008,5,Summer
Brendan Joseph Hansen,Brendan Hansen,90161,United States,Swimming,2004,6,Summer
DRESSEL Caeleb,DRESSEL Caeleb,3337,United States,Swimming,2020,5,Summer
Dana Whitney Vollmer (-Grant),Dana Vollmer,254061,United States,Swimming,2004,7,Summer
Ian Lowell Crocker,Ian Crocker,46242,United States,Swimming,2000,5,Summer
Jon C. Olsen,Jon Olsen,176767,United States,Swimming,1992,5,Summer
Joshua Clark Josh Davis,Joshua Davis,49873,United States,Swimming,1996,5,Summer
Justin Alexander Gatlin,Justin Gatlin,76917,United States,Athletics,2004,5,Summer
Kathleen Genevieve Katie Ledecky,Kathleen Ledecky,134631,United States,Swimming,2012,6,Summer
Kimberly Susan Kim Rhode (-Harryman),Kimberly Rhode,199717,United States,Shooting,1996,6,Summer
Klete D. Keller,Klete Keller,115517,United States,Swimming,2000,5,Summer
Matthew Matt Grevers,Matthew Grevers,84265,United States,Swimming,2008,6,Summer
Melissa Jeanette Missy Franklin,Melissa Franklin,72309,United States,Swimming,2012,6,Summer
Rebecca Soni,Rebecca Soni,225249,United States,Swimming,2008,6,Summer
Sanya Richards-Ross,Sanya Richards-Ross,200133,United States,Athletics,2004,5,Summer
Simone Arianne Biles,Simone Biles,21758,United States,Gymnastics,2016,5,Summer
Venus Ebony Starr Williams,Venus Williams,261158,United States,Tennis,2000,5,Summer
Aleksey Yuryevich Nemov,Aleksey Nemov,169657,Russia,Gymnastics,1996,12,Summer
Aliya Farkhatovna Mustafina,Aliya Mustafina,166652,Russia,Gymnastics,2012,7,Summer
Svetlana Vasilyevna Khorkina,Svetlana Khorkina,117256,Russia,Gymnastics,1996,7,Summer
Tatyana Romanovna Lebedeva,Tatyana Lebedeva,134327,Russia,Athletics,2000,5,Summer
